B01003_001E,NAME,GEOID,american indian area/alaska native area/hawaiian home land
3064,"Washoe Ranches Trust Land, NV--CA",25000US4560,4560
71,"Wells Colony, NV",25000US4580,4580
9919,"White Earth Reservation and Off-Reservation Trust Land, MN",25000US4595,4595
27406,"Wind River Reservation and Off-Reservation Trust Land, WY",25000US4610,4610
2814,"Winnebago Reservation and Off-Reservation Trust Land, NE--IA",25000US4625,4625
26,"Winnemucca Indian Colony, NV",25000US4635,4635
233,"Woodfords Community, CA",25000US4665,4665
49,"XL Ranch Rancheria, CA",25000US4680,4680
31267,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",25000US4690,4690
6652,"Yankton Reservation, SD",25000US4700,4700
1022,"Yavapai-Apache Nation Reservation, AZ",25000US4708,4708
247,"Yavapai-Prescott Reservation, AZ",25000US4710,4710
243,"Yerington Colony, NV",25000US4725,4725
160,"Yomba Reservation, NV",25000US4740,4740
898,"Ysleta del Sur Pueblo and Off-Reservation Trust Land, TX",25000US4755,4755
1235,"Yurok Reservation, CA",25000US4760,4760
886,"Zia Pueblo and Off-Reservation Trust Land, NM",25000US4770,4770
11065,"Zuni Reservation and Off-Reservation Trust Land, NM--AZ",25000US4785,4785
0,"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area, KS",25000US4910,4910
0,"San Felipe Pueblo/Santa Ana Pueblo joint-use area, NM",25000US4930,4930
0,"San Felipe Pueblo/Santo Domingo Pueblo joint-use area, NM",25000US4940,4940
148,"Anahola (Agricultural) Hawaiian Home Land, HI",25000US5003,5003
1707,"Anahola (Residential) Hawaiian Home Land, HI",25000US5004,5004
0,"East Kapolei Hawaiian Home Land, HI",25000US5008,5008
0,"Haiku Hawaiian Home Land, HI",25000US5009,5009
24,"Hanapepe Hawaiian Home Land, HI",25000US5011,5011
73,"Homuula-Upper Piihonua Hawaiian Home Land, HI",25000US5018,5018
0,"Honokaia Hawaiian Home Land, HI",25000US5026,5026
0,"Honokowai Hawaiian Home Land, HI",25000US5029,5029
0,"Honolulu Makai Hawaiian Home Land, HI",25000US5030,5030
0,"Honomu Hawaiian Home Land, HI",25000US5031,5031
1327,"Hoolehua-Palaau Hawaiian Home Land, HI",25000US5033,5033
0,"Kahikinui Hawaiian Home Land, HI",25000US5041,5041
180,"Kakaina-Kumuhau Hawaiian Home Land, HI",25000US5043,5043
16,"Kalaeloa Hawaiian Home Land, HI",25000US5044,5044
342,"Kalamaula Hawaiian Home Land, HI",25000US5046,5046
73,"Kalaupapa Hawaiian Home Land, HI",25000US5051,5051
342,"Kalawahine Hawaiian Home Land, HI",25000US5053,5053
12,"Kamaoa-Puueo Hawaiian Home Land, HI",25000US5056,5056
50,"Kamiloloa-Makakupaia Hawaiian Home Land, HI",25000US5061,5061
17,"Kamoku-Kapulena Hawaiian Home Land, HI",25000US5066,5066
495,"Kanehili Hawaiian Home Land, HI",25000US5067,5067
0,"Kaohe-Olaa Hawaiian Home Land, HI",25000US5069,5069
0,"Kapaa Hawaiian Home Land, HI",25000US5071,5071
188,"Kapaakea Hawaiian Home Land, HI",25000US5076,5076
0,"Kapolei Hawaiian Home Land, HI",25000US5083,5083
143,"Kaumana Hawaiian Home Land, HI",25000US5086,5086
991,"Kaupea Hawaiian Home Land, HI",25000US5088,5088
452,"Kawaihae Hawaiian Home Land, HI",25000US5091,5091
0,"Keahuolu Hawaiian Home Land, HI",25000US5098,5098
1045,"Kealakehe Hawaiian Home Land, HI",25000US5101,5101
9,"Keanae-Wailua Hawaiian Home Land, HI",25000US5104,5104
1630,"Keaukaha Hawaiian Home Land, HI",25000US5106,5106
503,"Kekaha Hawaiian Home Land, HI",25000US5111,5111
60,"Keokea (Agricultural) Hawaiian Home Land, HI",25000US5114,5114
0,"Keoniki Hawaiian Home Land, HI",25000US5116,5116
261,"Kewalo Hawaiian Home Land, HI",25000US5120,5120
0,"Kolaoa Hawaiian Home Land, HI",25000US5123,5123
86,"Lalamilo Hawaiian Home Land, HI",25000US5133,5133
41,"Lanai City Hawaiian Home Land, HI",25000US5134,5134
