B01003_001E,NAME,GEOID,metropolitan statistical area/micropolitan statistical area
63976,"Ionia, MI Micro Area",31000US26960,26960
158708,"Iowa City, IA Metro Area",31000US26980,26980
30570,"Iron Mountain, MI-WI Micro Area",31000US27020,27020
103179,"Ithaca, NY Metro Area",31000US27060,27060
159927,"Jackson, MI Metro Area",31000US27100,27100
574998,"Jackson, MS Metro Area",31000US27140,27140
32952,"Jackson, OH Micro Area",31000US27160,27160
130233,"Jackson, TN Metro Area",31000US27180,27180
32168,"Jackson, WY-ID Micro Area",31000US27220,27220
1380995,"Jacksonville, FL Metro Area",31000US27260,27260
40532,"Jacksonville, IL Micro Area",31000US27300,27300
182921,"Jacksonville, NC Metro Area",31000US27340,27340
50971,"Jacksonville, TX Micro Area",31000US27380,27380
21056,"Jamestown, ND Micro Area",31000US27420,27420
133556,"Jamestown-Dunkirk-Fredonia, NY Micro Area",31000US27460,27460
160465,"Janesville-Beloit, WI Metro Area",31000US27500,27500
54903,"Jasper, IN Micro Area",31000US27540,27540
60928,"Jefferson, GA Micro Area",31000US27600,27600
150440,"Jefferson City, MO Metro Area",31000US27620,27620
30170,"Jesup, GA Micro Area",31000US27700,27700
200271,"Johnson City, TN Metro Area",31000US27740,27740
140835,"Johnstown, PA Metro Area",31000US27780,27780
124194,"Jonesboro, AR Metro Area",31000US27860,27860
175679,"Joplin, MO Metro Area",31000US27900,27900
36458,"Junction City, KS Micro Area",31000US27920,27920
32200,"Juneau, AK Micro Area",31000US27940,27940
158887,"Kahului-Wailuku-Lahaina, HI Metro Area",31000US27980,27980
330439,"Kalamazoo-Portage, MI Metro Area",31000US28020,28020
92373,"Kalispell, MT Micro Area",31000US28060,28060
112682,"Kankakee, IL Metro Area",31000US28100,28100
2040869,"Kansas City, MO-KS Metro Area",31000US28140,28140
68745,"Kapaa, HI Micro Area",31000US28180,28180
53948,"Kearney, NE Micro Area",31000US28260,28260
76596,"Keene, NH Micro Area",31000US28300,28300
47497,"Kendallville, IN Micro Area",31000US28340,28340
31778,"Kennett, MO Micro Area",31000US28380,28380
266561,"Kennewick-Richland, WA Metro Area",31000US28420,28420
49914,"Kerrville, TX Micro Area",31000US28500,28500
13676,"Ketchikan, AK Micro Area",31000US28540,28540
75208,"Key West, FL Micro Area",31000US28580,28580
38749,"Kill Devil Hills, NC Micro Area",31000US28620,28620
417887,"Killeen-Temple, TX Metro Area",31000US28660,28660
308800,"Kingsport-Bristol-Bristol, TN-VA Metro Area",31000US28700,28700
181598,"Kingston, NY Metro Area",31000US28740,28740
32670,"Kingsville, TX Micro Area",31000US28780,28780
59095,"Kinston, NC Micro Area",31000US28820,28820
30030,"Kirksville, MO Micro Area",31000US28860,28860
65985,"Klamath Falls, OR Micro Area",31000US28900,28900
847765,"Knoxville, TN Metro Area",31000US28940,28940
82914,"Kokomo, IN Metro Area",31000US29020,29020
60252,"Laconia, NH Micro Area",31000US29060,29060
135329,"La Crosse-Onalaska, WI-MN Metro Area",31000US29100,29100
475457,"Lafayette, LA Metro Area",31000US29180,29180
207013,"Lafayette-West Lafayette, IN Metro Area",31000US29200,29200
25736,"La Grande, OR Micro Area",31000US29260,29260
68375,"LaGrange, GA Micro Area",31000US29300,29300
201656,"Lake Charles, LA Metro Area",31000US29340,29340
67662,"Lake City, FL Micro Area",31000US29380,29380
202482,"Lake Havasu City-Kingman, AZ Metro Area",31000US29420,29420
617323,"Lakeland-Winter Haven, FL Metro Area",31000US29460,29460
13593,"Lamesa, TX Micro Area",31000US29500,29500
526839,"Lancaster, PA Metro Area",31000US29540,29540
467122,"Lansing-East Lansing, MI Metro Area",31000US29620,29620
37220,"Laramie, WY Micro Area",31000US29660,29660
259471,"Laredo, TX Metro Area",31000US29700,29700
212942,"Las Cruces, NM Metro Area",31000US29740,29740
28899,"Las Vegas, NM Micro Area",31000US29780,29780
2003613,"Las Vegas-Henderson-Paradise, NV Metro Area",31000US29820,29820
84960,"Laurel, MS Micro Area",31000US29860,29860
36034,"Laurinburg, NC Micro Area",31000US29900,29900
113703,"Lawrence, KS Metro Area",31000US29940,29940
42084,"Lawrenceburg, TN Micro Area",31000US29980,29980
131804,"Lawton, OK Metro Area",31000US30020,30020
35544,"Lebanon, MO Micro Area",31000US30060,30060
135184,"Lebanon, PA Metro Area",31000US30140,30140
23205,"Levelland, TX Micro Area",31000US30220,30220
44955,"Lewisburg, PA Micro Area",31000US30260,30260
30977,"Lewisburg, TN Micro Area",31000US30280,30280
61610,"Lewiston, ID-WA Metro Area",31000US30300,30300
107470,"Lewiston-Auburn, ME Metro Area",31000US30340,30340
46705,"Lewistown, PA Micro Area",31000US30380,30380
26202,"Lexington, NE Micro Area",31000US30420,30420
483997,"Lexington-Fayette, KY Metro Area",31000US30460,30460
